pair,tf,period,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
AUD_JPY,H4,200,3,long,154,87,65,2,0.5723684210526315,0.493716923878534,0.6510199182267291
AUD_JPY,H4,200,4,long,139,80,57,2,0.583941605839416,0.5014029024986116,0.6664803091802204
AUD_JPY,H4,200,1,short,272,119,153,0,0.4375,0.37854482790987315,0.49645517209012685
AUD_JPY,H4,200,2,short,198,92,106,0,0.46464646464646464,0.39517521160070834,0.5341177176922209
AUD_JPY,H4,200,3,short,161,78,83,0,0.484472049689441,0.4072744841561253,0.5616696152227567
AUD_JPY,H4,200,4,short,139,69,70,0,0.49640287769784175,0.41328251370950586,0.5795232416861776
USD_SGD,H4,20,1,long,944,289,320,335,0.4745484400656814,0.434888318328285,0.5142085618030778
USD_SGD,H4,20,2,long,672,197,237,238,0.4539170506912442,0.40707576972708687,0.5007583316554016
USD_SGD,H4,20,3,long,549,157,197,195,0.4435028248587571,0.3917499931547197,0.49525565656279447
USD_SGD,H4,20,4,long,480,134,177,169,0.43086816720257237,0.37583119670831605,0.4859051376968287
USD_SGD,H4,20,1,short,945,321,284,340,0.5305785123966942,0.4908104258204097,0.5703465989729787
USD_SGD,H4,20,2,short,689,230,199,260,0.5361305361305362,0.4889393830326639,0.5833216892284085
USD_SGD,H4,20,3,short,570,184,168,218,0.5227272727272727,0.4705470860464685,0.5749074594080769
USD_SGD,H4,20,4,short,499,167,142,190,0.540453074433657,0.4848855869969023,0.5960205618704116
USD_SGD,H4,50,1,long,568,157,191,220,0.4511494252873563,0.3988672420026043,0.5034316085721082
USD_SGD,H4,50,2,long,429,121,153,155,0.4416058394160584,0.38280701709579573,0.5004046617363211
USD_SGD,H4,50,3,long,353,96,129,128,0.4266666666666667,0.3620398497736122,0.4912934835597212
USD_SGD,H4,50,4,long,316,82,120,114,0.40594059405940597,0.3382190944591832,0.47366209365962875
USD_SGD,H4,50,1,short,569,197,159,213,0.5533707865168539,0.5017276335173083,0.6050139395163995
USD_SGD,H4,50,2,short,395,141,113,141,0.5551181102362205,0.4940022013875163,0.6162340190849247
USD_SGD,H4,50,3,short,333,116,98,119,0.5420560747663551,0.4753020518028617,0.6088100977298484
USD_SGD,H4,50,4,short,300,101,88,111,0.5343915343915344,0.46327585095371154,0.6055072178293572
USD_SGD,H4,100,1,long,383,114,135,134,0.4578313253012048,0.3959476126844408,0.5197150379179688
USD_SGD,H4,100,2,long,282,89,95,98,0.483695652173913,0.4114875147335964,0.5559037896142296
USD_SGD,H4,100,3,long,240,72,86,82,0.45569620253164556,0.3780382538146003,0.5333541512486908
USD_SGD,H4,100,4,long,212,61,78,73,0.43884892086330934,0.35635041371870674,0.521347428007912
USD_SGD,H4,100,1,short,383,144,107,132,0.5737051792828686,0.5125238900951496,0.6348864684705875
USD_SGD,H4,100,2,short,272,107,70,95,0.6045197740112994,0.532485848793862,0.6765536992287369
USD_SGD,H4,100,3,short,227,84,60,83,0.5833333333333334,0.5028089140633664,0.6638577526033004
USD_SGD,H4,100,4,short,207,75,56,76,0.5725190839694656,0.48780145878473447,0.6572367091541967
USD_SGD,H4,200,1,long,231,78,93,60,0.45614035087719296,0.3814867636041859,0.5307939381502
USD_SGD,H4,200,2,long,174,61,65,48,0.48412698412698413,0.3968656498122241,0.5713883184417442
USD_SGD,H4,200,3,long,144,49,57,38,0.46226415094339623,0.3673496122494353,0.5571786896373572
USD_SGD,H4,200,4,long,131,43,53,35,0.4479166666666667,0.34843996330856697,0.5473933700247664
USD_SGD,H4,200,1,short,231,85,70,76,0.5483870967741935,0.470041064528211,0.626733129020176
USD_SGD,H4,200,2,short,166,64,48,54,0.5714285714285714,0.4797770575294546,0.6630800853276881
USD_SGD,H4,200,3,short,139,51,37,51,0.5795454545454546,0.4764076189601266,0.6826832901307825
USD_SGD,H4,200,4,short,125,45,33,47,0.5769230769230769,0.46728096453748363,0.68656518930867
USD_PLN,H4,20,1,long,911,427,474,10,0.4739178690344062,0.44131378579492847,0.5065219522738839
USD_PLN,H4,20,2,long,657,303,345,9,0.4675925925925926,0.42917550619243494,0.5060096789927503
USD_PLN,H4,20,3,long,577,274,294,9,0.4823943661971831,0.441299978450353,0.5234887539440132
USD_PLN,H4,20,4,long,512,245,259,8,0.4861111111111111,0.4424752861563937,0.5297469360658285
USD_PLN,H4,20,1,short,912,465,439,8,0.5143805309734514,0.4817996995931264,0.5469613623537763
